こころ,夏目漱石
人間失格,太宰治
吾輩は猫である,夏目漱石
坊っちゃん,夏目漱石
ドグラ マグラ,夢野久作
銀河鉄道の夜,宮沢賢治
蟹工船,小林多喜二
源氏物語 01 桐壺,紫式部
羅生門,芥川竜之介
学問のすすめ,福沢諭吉
注文の多い料理店,宮沢賢治
〔雨ニモマケズ〕,宮沢賢治
走れメロス,太宰治
銀河鉄道の夜,宮沢賢治
蜘蛛の糸,芥川竜之介
変身,カフカ フランツ
それから,夏目漱石
モルグ街の殺人事件,ポー エドガー アラン
グスコーブドリの伝記,宮沢賢治
斜陽,太宰治
一握の砂,石川啄木
カラマゾフの兄弟 01 上,ドストエフスキー フィヨードル ミハイロヴィチ
三四郎,夏目漱石
舞姫,森鴎外
船中八策,坂本竜馬
草枕,夏目漱石
方丈記,鴨長明
ガリバー旅行記,スウィフト ジョナサン
檸檬,梶井基次郎
少女地獄,夢野久作
奇巌城 アルセーヌ ルパン,ルブラン モーリス
破戒,島崎藤村
ヴィヨンの妻,太宰治
ラプンツェル,グリム ヤーコプ ルートヴィッヒ カール グリム ヴィルヘルム カール
黒死館殺人事件,小栗虫太郎
山月記,中島敦
探偵小説アルセーヌ ルパン,ルブラン モーリス
或阿呆の一生,芥川竜之介
阿Ｑ正伝,魯迅　
セロ弾きのゴーシュ,宮沢賢治
風の又三郎,宮沢賢治
白雪姫,グリム ヤーコプ ルートヴィッヒ カール グリム ヴィルヘルム カール
鼻,芥川竜之介
夢十夜,夏目漱石
空家の冒険,ドイル アーサー コナン
グロリア スコット号,ドイル アーサー コナン
堕落論,坂口安吾
智恵子抄,高村光太郎
黒猫,ポー エドガー アラン
たけくらべ,樋口一葉
ロミオとヂュリエット 03 ロミオとヂュリエット,シェークスピア ウィリアム
イワンの馬鹿,トルストイ レオ
赤ずきんちゃん,グリム ヤーコプ ルートヴィッヒ カール グリム ヴィルヘルム カール
虞美人草,夏目漱石
金色夜叉,尾崎紅葉
神曲 01 地獄,ダンテ アリギエリ
羅生門,芥川竜之介
源氏物語 02 帚木,紫式部
河童,芥川竜之介
土佐日記,紀貫之
暗号舞踏人の謎,ドイル アーサー コナン
